1	 1:1	 2:3	 3:86	 4:0	 5:60	 6:0	 7:58	 8:0	 9:64	 10:0	 11:45	 12:0	 13:35	 14:0	 15:44	 16:0	 17:37	 18:0
1	 1:4	 2:1	 3:57	 4:0	 5:39	 6:0	 7:42	 8:0	 9:1	 10:0	 11:46	 12:0	 13:53	 14:0	 15:40	 16:0	 17:42	 18:0
1	 1:1	 2:1	 3:90	 4:0	 5:58	 6:0	 7:30	 8:0	 9:80	 10:0	 11:99	 12:0	 13:74	 14:0	 15:35	 16:0	 17:8	 18:0
1	 1:0	 2:0	 3:15	 4:0	 5:49	 6:0	 7:41	 8:0	 9:12	 10:0	 11:118	 12:1	 13:52	 14:0	 15:12	 16:0	 17:78	 18:0
1	 1:0	 2:1	 3:76	 4:0	 5:85	 6:0	 7:99	 8:0	 9:26	 10:0	 11:63	 12:0	 13:35	 14:0	 15:90	 16:0	 17:78	 18:0
0	 1:5	 2:1	 3:8	 4:0	 5:65	 6:0	 7:56	 8:0	 9:8	 10:0	 11:44	 12:0	 13:48	 14:0	 15:24	 16:0	 17:21	 18:0
2	 1:5	 2:1	 3:80	 4:0	 5:2	 6:0	 7:191	 8:1	 9:33	 10:0	 11:16	 12:0	 13:91	 14:0	 15:95	 16:0	 17:23	 18:0
2	 1:6	 2:1	 3:116	 4:1	 5:83	 6:0	 7:42	 8:0	 9:24	 10:0	 11:68	 12:0	 13:3	 14:0	 15:85	 16:0	 17:94	 18:0
1	 1:0	 2:2	 3:57	 4:0	 5:35	 6:0	 7:64	 8:0	 9:12	 10:0	 11:43	 12:0	 13:23	 14:0	 15:40	 16:0	 17:64	 18:0
2	 1:5	 2:1	 3:44	 4:0	 5:70	 6:0	 7:50	 8:0	 9:60	 10:0	 11:86	 12:0	 13:41	 14:0	 15:53	 16:0	 17:173	 18:1
1	 1:2	 2:1	 3:0	 4:0	 5:131	 6:1	 7:3	 8:0	 9:124	 10:1	 11:78	 12:0	 13:83	 14:0	 15:3	 16:0	 17:23	 18:0
1	 1:6	 2:3	 3:44	 4:0	 5:106	 6:1	 7:36	 8:0	 9:7	 10:0	 11:75	 12:0	 13:9	 14:0	 15:23	 16:0	 17:37	 18:0
1	 1:3	 2:1	 3:67	 4:0	 5:63	 6:0	 7:13	 8:0	 9:2	 10:0	 11:78	 12:0	 13:50	 14:0	 15:50	 16:0	 17:11	 18:0
1	 1:3	 2:0	 3:23	 4:0	 5:41	 6:0	 7:84	 8:0	 9:60	 10:0	 11:5	 12:0	 13:26	 14:0	 15:78	 16:0	 17:86	 18:0
2	 1:1	 2:0	 3:63	 4:0	 5:74	 6:0	 7:98	 8:0	 9:14	 10:0	 11:169	 12:1	 13:80	 14:0	 15:51	 16:0	 17:180	 18:1
1	 1:1	 2:3	 3:41	 4:0	 5:76	 6:0	 7:37	 8:0	 9:36	 10:0	 11:44	 12:0	 13:70	 14:0	 15:77	 16:0	 17:98	 18:0
1	 1:3	 2:2	 3:18	 4:0	 5:31	 6:0	 7:51	 8:0	 9:47	 10:0	 11:42	 12:0	 13:47	 14:0	 15:57	 16:0	 17:83	 18:0
2	 1:1	 2:2	 3:42	 4:0	 5:19	 6:0	 7:53	 8:0	 9:80	 10:0	 11:42	 12:0	 13:198	 14:1	 15:91	 16:0	 17:24	 18:0
1	 1:2	 2:0	 3:59	 4:0	 5:36	 6:0	 7:44	 8:0	 9:25	 10:0	 11:94	 12:0	 13:47	 14:0	 15:16	 16:0	 17:54	 18:0
1	 1:1	 2:3	 3:80	 4:0	 5:12	 6:0	 7:103	 8:1	 9:22	 10:0	 11:52	 12:0	 13:26	 14:0	 15:8	 16:0	 17:41	 18:0
2	 1:6	 2:1	 3:58	 4:0	 5:98	 6:0	 7:151	 8:1	 9:9	 10:0	 11:96	 12:0	 13:6	 14:0	 15:57	 16:0	 17:38	 18:0
2	 1:5	 2:1	 3:135	 4:1	 5:59	 6:0	 7:53	 8:0	 9:14	 10:0	 11:74	 12:0	 13:49	 14:0	 15:171	 16:1	 17:36	 18:0
1	 1:1	 2:3	 3:52	 4:0	 5:87	 6:0	 7:84	 8:0	 9:0	 10:0	 11:96	 12:0	 13:4	 14:0	 15:89	 16:0	 17:8	 18:0
1	 1:5	 2:1	 3:11	 4:0	 5:2	 6:0	 7:78	 8:0	 9:84	 10:0	 11:44	 12:0	 13:1	 14:0	 15:91	 16:0	 17:19	 18:0
2	 1:3	 2:1	 3:26	 4:0	 5:169	 6:1	 7:98	 8:0	 9:14	 10:0	 11:168	 12:1	 13:35	 14:0	 15:50	 16:0	 17:69	 18:0
0	 1:0	 2:1	 3:30	 4:0	 5:38	 6:0	 7:42	 8:0	 9:85	 10:0	 11:50	 12:0	 13:7	 14:0	 15:19	 16:0	 17:7	 18:0
1	 1:7	 2:1	 3:53	 4:0	 5:5	 6:0	 7:38	 8:0	 9:96	 10:0	 11:6	 12:0	 13:78	 14:0	 15:80	 16:0	 17:57	 18:0
1	 1:5	 2:2	 3:94	 4:0	 5:86	 6:0	 7:64	 8:0	 9:15	 10:0	 11:21	 12:0	 13:32	 14:0	 15:49	 16:0	 17:31	 18:0
1	 1:2	 2:3	 3:18	 4:0	 5:19	 6:0	 7:40	 8:0	 9:24	 10:0	 11:147	 12:1	 13:29	 14:0	 15:88	 16:0	 17:52	 18:0
1	 1:0	 2:0	 3:36	 4:0	 5:87	 6:0	 7:37	 8:0	 9:5	 10:0	 11:38	 12:0	 13:81	 14:0	 15:24	 16:0	 17:48	 18:0
1	 1:7	 2:3	 3:88	 4:0	 5:39	 6:0	 7:69	 8:0	 9:34	 10:0	 11:20	 12:0	 13:17	 14:0	 15:48	 16:0	 17:32	 18:0
1	 1:6	 2:3	 3:53	 4:0	 5:6	 6:0	 7:55	 8:0	 9:47	 10:0	 11:64	 12:0	 13:5	 14:0	 15:23	 16:0	 17:181	 18:1
2	 1:2	 2:3	 3:22	 4:0	 5:84	 6:0	 7:94	 8:0	 9:26	 10:0	 11:77	 12:0	 13:3	 14:0	 15:91	 16:0	 17:124	 18:1
2	 1:5	 2:3	 3:62	 4:0	 5:42	 6:0	 7:152	 8:1	 9:72	 10:0	 11:25	 12:0	 13:74	 14:0	 15:44	 16:0	 17:56	 18:0
2	 1:1	 2:0	 3:66	 4:0	 5:128	 6:1	 7:91	 8:0	 9:82	 10:0	 11:25	 12:0	 13:49	 14:0	 15:45	 16:0	 17:64	 18:0
1	 1:5	 2:1	 3:36	 4:0	 5:39	 6:0	 7:67	 8:0	 9:20	 10:0	 11:41	 12:0	 13:66	 14:0	 15:3	 16:0	 17:98	 18:0
1	 1:7	 2:0	 3:58	 4:0	 5:92	 6:0	 7:27	 8:0	 9:51	 10:0	 11:20	 12:0	 13:82	 14:0	 15:58	 16:0	 17:31	 18:0
2	 1:2	 2:0	 3:186	 4:1	 5:85	 6:0	 7:160	 8:1	 9:75	 10:0	 11:77	 12:0	 13:25	 14:0	 15:33	 16:0	 17:30	 18:0
2	 1:3	 2:1	 3:77	 4:0	 5:35	 6:0	 7:69	 8:0	 9:39	 10:0	 11:105	 12:1	 13:8	 14:0	 15:68	 16:0	 17:168	 18:1
